FL16Y,glon,glat,association,logS
FL16Y J0000.0+314,110.333,-29.848,blazar,-11.682
FL16Y J0000.4-735,307.706,-42.739,unID,-11.761
FL16Y J0000.5+074,101.711,-52.969,unID,-11.670
FL16Y J0000.9+253,108.821,-35.966,unID,-12.101
FL16Y J0001.2-074,89.033,-67.304,blazar,-11.146
FL16Y J0001.2+474,114.255,-14.326,blazar,-11.659
FL16Y J0001.5-415,334.322,-72.018,blazar,-11.484
FL16Y J0001.5-001,96.904,-60.495,blazar,-11.892
FL16Y J0001.6+211,107.674,-40.164,blazar,-10.673
FL16Y J0001.6+350,111.543,-26.746,unID,-11.836
FL16Y J0002.2+671,118.206,4.903,other,-11.356
FL16Y J0002.3-672,310.063,-48.972,blazar,-11.627
FL16Y J0002.4-081,89.105,-67.849,blazar,-11.838
FL16Y J0002.4-515,319.993,-63.539,blazar,-12.087
FL16Y J0002.8+721,119.209,9.784,blazar,-11.589
FL16Y J0002.9+621,117.331,-0.060,psr,-10.730
FL16Y J0003.2-524,318.960,-62.796,blazar,-11.506
FL16Y J0003.2+250,109.339,-36.494,unID,-11.608
FL16Y J0003.2-070,91.069,-66.911,blazar,-11.975
FL16Y J0003.3-192,65.104,-76.577,blazar,-11.535
FL16Y J0003.3-154,75.999,-74.064,other,-12.020
FL16Y J0003.4-590,314.216,-56.959,blazar,-11.785
FL16Y J0003.4+071,102.588,-53.659,blazar,-12.012
FL16Y J0003.6+305,111.019,-30.784,unID,-11.685
FL16Y J0003.8+220,108.598,-39.453,blazar,-11.983
FL16Y J0003.9+571,116.513,-5.076,unID,-11.387
FL16Y J0004.0+084,103.501,-52.375,blazar,-11.888
FL16Y J0004.0-114,84.624,-71.073,blazar,-11.558
FL16Y J0004.2+461,114.484,-15.847,blazar,-11.297
FL16Y J0004.4+683,118.657,6.178,unID,-11.611
FL16Y J0004.4-473,323.979,-67.543,blazar,-11.232
FL16Y J0004.5-400,336.929,-73.838,unID,-11.594
FL16Y J0005.5+663,118.394,4.142,unID,-11.326
FL16Y J0005.7+674,118.604,5.215,unID,-11.320
FL16Y J0005.9+382,113.213,-23.665,blazar,-11.256
FL16Y J0006.1+013,100.327,-59.314,blazar,-11.709
FL16Y J0006.1-062,93.510,-66.612,blazar,-11.910
FL16Y J0006.2-562,315.301,-59.600,blazar,-11.683
FL16Y J0006.2-181,71.177,-76.309,unID,-12.032
FL16Y J0006.7-524,317.931,-63.062,blazar,-11.895
FL16Y J0006.9+461,114.966,-15.881,unID,-12.146
FL16Y J0007.0+730,119.663,10.462,psr,-9.362
FL16Y J0007.2-032,97.094,-63.996,unID,-12.135
FL16Y J0007.6+400,113.938,-21.951,blazar,-11.420
FL16Y J0008.0+471,115.321,-15.027,blazar,-10.741
FL16Y J0008.2-394,335.680,-74.538,blazar,-11.607
FL16Y J0008.3+692,119.140,6.882,unID,-11.281
FL16Y J0008.4-233,50.250,-79.700,blazar,-11.628
FL16Y J0008.4+145,107.722,-46.667,blazar,-11.356
FL16Y J0008.5+250,110.801,-36.732,unID,-11.739
FL16Y J0008.5+683,119.021,6.072,blazar,-10.685
FL16Y J0009.1+062,104.474,-54.879,blazar,-11.255
FL16Y J0009.3-141,83.474,-73.814,unID,-11.554
FL16Y J0009.4+503,116.128,-11.808,blazar,-10.665
FL16Y J0009.4+174,108.990,-43.963,unID,-11.505
FL16Y J0009.6-321,0.813,-79.566,other,-11.626
FL16Y J0009.7-431,327.814,-71.773,blazar,-11.550
FL16Y J0009.8+133,107.743,-47.976,blazar,-11.881
FL16Y J0010.0-635,310.386,-52.575,blazar,-11.763
FL16Y J0010.0+281,111.958,-33.807,unID,-11.877
FL16Y J0010.1-501,319.069,-65.604,unID,-11.632
FL16Y J0010.5-302,10.126,-80.450,blazar,-11.287
FL16Y J0010.6+204,110.259,-41.062,blazar,-11.432
FL16Y J0010.8+472,115.846,-14.888,unID,-12.072
FL16Y J0010.8-215,60.191,-79.416,blazar,-11.764
FL16Y J0011.4+483,116.135,-13.800,unID,-11.659
FL16Y J0011.5+005,102.448,-60.306,blazar,-11.082
FL16Y J0011.5-410,330.702,-73.759,blazar,-11.884
FL16Y J0011.7-314,2.508,-80.215,blazar,-11.879
FL16Y J0011.8+704,119.651,8.132,blazar,-11.190
FL16Y J0012.3-262,35.656,-81.243,unID,-12.063
FL16Y J0013.0+335,113.885,-28.286,blazar,-11.582
FL16Y J0013.0-395,332.346,-74.921,blazar,-11.330
FL16Y J0013.4+094,107.663,-51.918,blazar,-11.571
FL16Y J0013.6+405,115.255,-21.473,other,-11.730
FL16Y J0013.9-185,74.628,-78.094,blazar,-11.512
FL16Y J0013.9-042,99.850,-65.543,blazar,-11.608
FL16Y J0014.1+190,110.874,-42.843,blazar,-11.550
FL16Y J0014.2-502,317.410,-65.689,blazar,-11.598
FL16Y J0014.2+085,107.610,-52.886,blazar,-11.600
FL16Y J0014.3-045,99.508,-66.164,blazar,-11.302
FL16Y J0014.7+580,118.074,-4.491,blazar,-11.529
FL16Y J0014.8+611,118.549,-1.258,blazar,-11.127
FL16Y J0015.1+321,114.063,-30.020,blazar,-11.308
FL16Y J0015.3+353,114.731,-26.688,blazar,-11.818
FL16Y J0015.6+555,117.896,-6.655,blazar,-11.354
FL16Y J0015.9+244,112.762,-37.477,blazar,-11.556
FL16Y J0016.2-001,103.996,-61.866,blazar,-11.183
FL16Y J0017.0-460,320.436,-69.826,unID,-11.697
FL16Y J0017.0+165,111.228,-45.144,unID,-11.671
FL16Y J0017.0-065,99.462,-68.153,blazar,-11.215
FL16Y J0017.2+650,119.347,2.484,unID,-11.580
FL16Y J0017.5-051,101.233,-66.644,blazar,-10.955
FL16Y J0017.7+145,110.909,-47.221,blazar,-11.480
FL16Y J0018.5+294,114.455,-32.534,blazar,-11.458
FL16Y J0018.9+511,117.758,-11.350,unID,-11.718
FL16Y J0019.2-304,4.082,-82.099,blazar,-11.826
FL16Y J0019.3-815,304.317,-35.172,blazar,-11.213
FL16Y J0019.3-564,311.708,-59.887,blazar,-11.345
FL16Y J0019.4+260,114.034,-36.214,blazar,-11.526
FL16Y J0019.6+202,112.894,-41.901,blazar,-11.380
FL16Y J0019.6+732,120.637,10.731,blazar,-11.014
FL16Y J0020.9+032,108.202,-58.616,blazar,-11.680
FL16Y J0021.3-591,310.065,-57.413,unID,-11.878
FL16Y J0021.5-255,41.997,-83.205,blazar,-11.147
FL16Y J0021.6-222,66.634,-81.726,blazar,-11.863
FL16Y J0021.7-085,100.412,-70.551,blazar,-11.704
FL16Y J0021.7+453,117.507,-17.035,blazar,-11.772
